id,BDL_10001,BDL_10002,BDL_10003,BDL_10004,BDL_10010,BDL_10011,BDL_10012
L2276,1109.0,1109.0,27.5,28.6,1.0,0.0,486.0
L2023,995.0,995.0,22.799999,27.700001,1.0,0.0,112.0
L1806,953.0,953.0,21.799999,25.6,1.0,0.0,98.0
L2019,940.0,940.0,21.799999,25.299999,1.0,0.0,132.0
L2013,925.0,925.0,24.799999,27.299999,1.0,0.0,140.0
L2274,896.0,896.0,27.0,28.299999,1.0,0.0,289.0
L1811,882.0,882.0,22.9,25.4,1.0,0.0,96.0
L0693,838.0,838.0,26.200001,32.299999,1.0,0.0,399.0
L0928,804.0,804.0,32.5,26.299999,1.0,0.0,399.0
L2024,795.0,795.0,20.1,20.5,1.0,0.0,112.0
L0694,784.0,784.0,24.4,24.200001,1.0,0.0,399.0
L1810,764.0,764.0,23.0,26.200001,1.0,0.0,96.0
L1765,743.0,743.0,22.299999,25.1,1.0,0.0,137.0
H0689,739.0,,23.5,25.200001,1.0,0.0,404.0
L2173,737.0,737.0,23.0,26.6,1.0,0.0,93.0
H0927,734.0,,26.9,30.5,1.0,0.0,399.0
H1251,711.0,,23.9,25.9,1.0,0.0,143.0
H1292,705.0,,21.5,25.299999,1.0,0.0,137.0
L0926,659.0,659.0,31.1,,1.0,0.0,404.0
L0528,606.0,606.0,25.4,36.200001,1.0,0.0,167.0
L1807,581.0,581.0,20.5,24.0,1.0,0.0,98.0
H1103,537.0,,25.1,28.799999,1.0,0.0,130.0
H1764,537.0,,25.299999,27.200001,1.0,0.0,130.0
L0525,397.0,397.0,25.299999,,1.0,0.0,144.0
H1679,359.0,,24.0,23.059999,1.0,0.0,204.0
H0526,215.0,,21.799999,,1.0,0.0,167.0
H0527,215.0,,25.200001,,1.0,0.0,167.0
H1680,182.0,,19.299999,,1.0,0.0,48.0
L1933,1004.0,1004.0,29.200001,65.099998,1.0,1.0,127.0
L2021,878.0,878.0,22.700001,50.5,1.0,1.0,112.0
L2275,804.0,804.0,36.900002,66.699997,1.0,1.0,289.0
L1804,774.0,774.0,25.9,48.099998,1.0,1.0,98.0
L2174,761.0,761.0,28.5,59.599998,1.0,1.0,93.0
L2175,749.0,749.0,28.200001,53.099998,1.0,1.0,93.0
L0524,742.0,742.0,31.1,67.300003,1.0,1.0,144.0
L1805,742.0,742.0,23.6,49.900002,1.0,1.0,98.0
H2012,734.0,,23.299999,41.200001,1.0,1.0,140.0
H2018,726.0,,25.700001,42.5,1.0,1.0,132.0
L2011,726.0,726.0,24.299999,47.200001,1.0,1.0,140.0
L2017,724.0,724.0,25.700001,53.599998,1.0,1.0,132.0
L1932,720.0,720.0,27.5,54.700001,1.0,1.0,127.0
L2020,719.0,719.0,26.299999,54.5,1.0,1.0,112.0
L0520,708.0,708.0,29.299999,62.099998,1.0,1.0,162.0
L0518,684.0,684.0,30.5,55.200001,1.0,1.0,162.0
L0523,676.0,676.0,30.799999,48.700001,1.0,1.0,144.0
L2277,676.0,676.0,40.0,,1.0,1.0,486.0
L1929,657.0,657.0,31.200001,62.900002,1.0,1.0,124.0
L1930,655.0,655.0,26.299999,44.700001,1.0,1.0,143.0
L1808,637.0,637.0,25.799999,55.0,1.0,1.0,96.0
L0517,586.0,586.0,27.9,50.400002,1.0,1.0,162.0
