trait,description
BXD_10001,"Central nervous system, morphology: Cerebellum weight, whole, bilateral in adults of both sexes [mg]"
BXD_10002,"Central nervous system, morphology: Cerebellum weight after adjustment for covariance with brain size [mg]"
BXD_10003,"Central nervous system, morphology: Brain weight, male and female adult average, unadjusted for body weight, age, sex [mg]"
BXD_10004,"Central nervous system, morphology: Cerebellum volume [mm3]"
BXD_10005,"Central nervous system, morphology: Cerebellum volume, adjusted for covariance with brain size [mm3]"
BXD_10006,"Central nervous system, morphology: Cerebellum internal granule layer (IGL) volume without adjustment [mm3]"
BXD_10007,"Central nervous system, morphology: Internal granule layer (IGL) of the cerebellum volume, adjusted for sex, age, body and brain weight [mm3]"
BXD_10008,"Central nervous system, pharmacology, behavior: Phencyclidine response (7.5 mg/kg ip), locomotor response, difference in activity (PCP minus saline) between 1 hr test periods [cm]"
BXD_10009,"Central nervous system, pharmacology, behavior: Phencyclidine response (7.5 mg/kg ip), locomotor activity from 0-60 min after PCP injection [cm]"
BXD_10010,"Central nervous system, behavior: Saline control response (0.9%, ip), locomotor activity from 0-60 min after injection (just prior to injection of phencyclidine) [cm]"
BXD_10011,"Central nervous system, pharmacology, behavior: Amphetamine response (5 mg/kg ip), locomotor response, difference in activity (amphetamine minus saline) between 1 hr test periods [cm]"
BXD_10012,"Central nervous system, pharmacology, behavior: Amphetamine response (5 mg/kg ip), locomotor activity from 0-60 min after injection [cm]"
BXD_10013,"Central nervous system, behavior: Saline control response (0.9% ip), locomotor activity from 0-60 min after injection (just prior to injection of 5 mg/kg amphetamine) [cm]"
BXD_10014,"Central nervous system, pharmacology, protein: Calcium (Ca2+) stimulated ecto-ATPase (NTPase) activity in brain microsomes  (monogenic trait mapping to Entpd8) [umolPi /mg protein/hr]"
BXD_10015,"Central nervous system, pharmacology, protein: Magnesium (Mg2+) stimulated ecto-ATPase (NTPase) activity in brain microsomes (monogenic trait mapping to Entpd8) [umolPi /mg protein/hr]"
BXD_10016,"Central nervous system, pharmacology, metabolism: Morphine response (variable doses, ip), induced hypothermia [slope of drug-response curve]"
BXD_10017,"Central nervous system, pharmacology, behavior: Morphine response (variable doses ip), analgesia, slope of the drug response curve [slope]"
BXD_10018,"Central nervous system, pharmacology: Morphine response (variable doses ip), Straub tail test response, slope of the dose response  curve [slope]"
BXD_10019,"Metabolism: Body temperature following saline injection, control for morphine response [degree C]"
BXD_10020,"Central nervous system, peripheral nervous system, behavior, nociception: Pain response, hot plate latency after saline control injection [seconds]"
BXD_10021,"Central nervous system, behavior: Saline control response (vehicle ip), open field activity after injection (unpublished data from Belknap and Crabbe, 1992) [units]"
BXD_10022,"Central nervous system, behavior, gustation: Saccharin sweet taste response, saccharin preference versus water ratio [%]"
BXD_10023,"Central nervous system, behavior, gustation: Saccharin sweet taste water consumption (BXD5 value of 1228 units winsorized to 700 units) [mg/kg/day]"
BXD_10024,"Central nervous system, behavior, epilepsy: Handling-induced convulsions (HIC) baseline scores [units]"
BXD_10025,"Central nervous system, pharmacology, epilepsy: Nitrous oxide response, withdrawal severity measured by handling-induced convulsion (HIC) area under the curve [units]"
BXD_10026,"Central nervous system, pharmacology, epilepsy: Nitrous oxide response, withdrawal severity measured by handling-induced convulsion (HIC), corrected peak level [units]"
BXD_10027,"Central nervous system, pharmacology, behavior: Nitrous oxide response, withdrawal severity measured by handling-induced convulsion (HIC), difference between treated and baseline untreated [units]"
BXD_10028,"Central nervous system, pharmacology, behavior: Ethanol response, withdrawal severity measured as the difference in handling-induced convulsion (HIC) scores from a saline control group (unpublished supplementary data) [units]"
BXD_10029,"Central nervous system, pharmacology, nociception: Morphine response (16 mg/kg), analgesia relative to maximum possible effect [%]"
BXD_10030,"Central nervous system, pharmacology, nociception: Naloxone ([3H]-naloxone) Bmax concentration (binding maximum) [pM/mg]"
BXD_10031,Morphology: Body weight of adult males [g]
BXD_10032,"Central nervous system, morphology: Brain weight in young adult males [mg]"
BXD_10033,"Central nervous system, morphology: Brain to body weight ratio [ratio]"
BXD_10034,"Infectious disease, immune system: Salmonella typhimurium bacterial strain LT2-Z growth from livers and spleens 6 days post inoculation with 10^2 CFU (figure 3, filled circles) [log10 CFU]"
BXD_10035,"Infectious disease, immune system: Salmonella typhimurium bacterial strain WB500 from livers and spleens 6 days post inoculation with 10^2 CFU (figure 3 open circles) [log10 CFU]"
BXD_10036,"Infectious disease, immune system: Salmonella typhimurium bacterial strain SR-11, net growth in livers and spleens 6 days after inoculation with 10^2 CFU (figure 5, triangles, Itk/Nramp1/Slc11a1-associated) [log10 CFU]"
BXD_10037,"Central nervous system, behavior: Locomotor activity in a novel environment (Day 1) in young adult males over a 5 min trial (Digiscan 16-beam automated activity monitor) [cm]"
BXD_10038,"Central nervous system, behavior: Habituation measured as difference in locomotor activity between day 1 and day 3 in young adult males over a 5 min test trial (Digiscan 16-beam automated activity monitor) [cm]"
BXD_10040,"Central nervous system, pharmacology, behavior: Ethanol response, blood ethanol concentration (BEC) at recovery of righting reflex (retro-orbital sinus sample) [mg/ml]"
BXD_10041,"Central nervous system, pharmacology, behavior: Ethanol response (2.5 g/kg ip), duration of loss of righting reflex [minutes]"
BXD_10042,"Central nervous system, pharmacology, behavior: Ethanol response (2.5 g/kg ip), ataxia, screen test sensitivity measured as the latency to fall, saline response minus ethanol response [seconds]"
BXD_10043,"Infectious disease, immune system: Ectromelia virus-induced mortality in males [3 = resistant, 2 = intermediate, 1 = susceptible, table 1 column 1, ordinal scale]"
BXD_10044,"Infectious disease, immune system: Ectromelia virus-induced mortality [3 = resistant,  1 = both intermediate and  susceptible, ordinal scale]"
BXD_10045,Metabolism: Body temperature (baseline control for quinpirole study) [degrees C]
BXD_10046,"Central nervous system, pharmacology, behavior: Quinpirole dopaminergic D2 and D3 receptor response (1 mg/kg ip), hypothermia 60 min after injection on day 1 measured as change from baseline temperature [degrees C]"
